No.Tên, Địa điểm, Loại di tích, Năm công nhận, Ghi chú
258. Thái Nguyên, Lịch sử, N/A, N/A, 
259. Thái Nguyên, Lịch sử, N/A, N/A, 
260. Thái Nguyên, Lịch sử, N/A, N/A, 
261. Thái Nguyên, Lịch sử, N/A, N/A, 
262. Đồng Hỷ, Danh thắng, N/A, N/A, 
263. Động Linh Sơn, Đồng Hỷ, Danh thắng, 1999, N/A
264. Phú Lương, Lịch sử, N/A, N/A, 
265. Phú Lương, Lịch sử, N/A, N/A, 
266. Phú Lương, Lịch sử, N/A, N/A, 
267. Võ Nhai, Khảo cổ, N/A, N/A, 
268. Hang Ốc, Bình Long- Võ Nhai, Khảo cổ, 2018, N/A
269. Võ Nhai, Lịch sử, N/A, N/A, 
270. Võ Nhai, Danh thắng, N/A, N/A, 
271. Hang Sa Khao, Võ Nhai, Danh thắng, N/A, N/A
272. Địa điểm thành lập Đội Thanh niên xung phong công tác Trung ương (15/7/1950), Yên Lãng- Đại Từ, Di tích lịch sử, N/A, N/A
273. Địa điểm hoạt động của Ban Giao thông Liên lạc Trung ương (1947 - 1954), Bình Thành- Định Hóa, Di tích lịch sử, N/A, N/A
274. Hang Nà Mò, Hiệp Lực- Ngân Sơn, Khảo cổ, 7/1/2020, 42/QĐ-BVHTTDL
275. Hoàng Phài - Địa điểm Lưu niệm nơi Bác Hồ dừng chân trên đường từ Pác Bó về Tân Trào, 5/1945, Ngân Sơn, Lịch sử, 2011, N/A
276. Ngân Sơn, Lịch sử, N/A, N/A, 
277. Di tích lịch sử Nà Tu, Bạch Thông, Lịch sử, 1996, N/A
278. Đồn Phủ Thông, Bạch Thông, Lịch sử, 1998, N/A
279. ATK Chợ Đồn, Chợ Đồn, Lịch sử đặc biệt, 2016, 2499/QĐ-TTg 
280. Bản Ca, Chợ Đồn, Lịch sử, 1996, ATK Chợ Đồn
281. Đồi Nà Pậu - Nơi làm việc của Hồ Chủ tịch đầu năm 1951, Chợ Đồn, Lịch sử, 1996, ATK Chợ Đồn
282. Khuổi Linh - Nơi làm việc của đồng chí Trường Chinh và văn phòng Trung ương Đảng năm 1950, Chợ Đồn, Lịch sử, 1996, ATK Chợ Đồn
283. Bản Bằng, Chợ Đồn, Lịch sử, 1996, ATK Chợ Đồn
284. Đồi Khau Mạ - Nơi làm việc của Đồng chí Phạm Văn Đồng (1950 - 1951), Chợ Đồn, Lịch sử, 1996, ATK Chợ Đồn
285. Di tích lịch sử Nà Quân, Chợ Đồn, Lịch sử, 1996, ATK Chợ Đồn
286. Động Nàng Tiên, Lương Hạ- Na Rì, Danh thắng, 1999, N/A
286. Động Nàng Tiên, Lương Hạ- Na Rì, Danh thắng, 1999, N/A
287. Động Áng Toòng, Xuất Hóa- Tp. Bắc Kạn, Lịch sử văn hóa, 12/11/2013, N/A
288. Địa điểm Chiến thắng Xương Giang, thành phố Bắc Giang, Lịch sử văn hóa, xx, đặc biệt 2020
289. Chùa Vĩnh Nghiêm (Bắc Giang) (Chùa Đức La), Yên Dũng, Lịch sử văn hóa đặc biệt, 1964, đặc biệt 2015
290. Khu thờ tự Việp Quận công Hoàng Ngũ Phúc, Yên Dũng, Lịch sử văn hóa, 1991, N/A
291. Đền Ngọc Lâm, Tân Mỹ, Yên Dũng, Lịch sử, 1991, N/A
292. Địa điểm Lưu niệm Bác Hồ, Tân An- Yên Dũng, Lịch sử, 1994, N/A
293. Từ Vũ thôn Bùi Bến, Yên Dũng, Văn hóa nghệ thuật, 1994, N/A
294. Lăng Dinh Hương, Hiệp Hòa, Văn hóa nghệ thuật, 1965, N/A
295. Lăng đá Họ Ngọ, Hiệp Hòa, Văn hóa nghệ thuật, 1964, N/A
296. Lăng đá Bầu, Hiệp Hòa, Văn hóa nghệ thuật, 1964, N/A
297. Đình Lỗ Hạnh, Hiệp Hòa, Văn hóa nghệ thuật, 1990, N/A
298. Lăng Họ Trần, Hiệp Hòa, Văn hóa nghệ thuật, 1990, N/A
299. Đình Hương Câu, Hiệp Hòa, Văn hóa nghệ thuật, 1992, N/A
300. Đền Y Sơn, Hiệp Hòa, Văn hóa nghệ thuật, 1994, N/A
301. ATK2 (10 di tích), Hiệp Hòa- Phổ Yên & Phú Bình, Lịch sử, N/A, Một phần di tích nằm ở tỉnh Thái Nguyên
302. Đình Xuân Biều (ATK2), Hiệp Hòa, Lịch sử, 1994, N/A
303. Đình Vân Xuyên (ATK2), Hiệp Hòa, Lịch sử, 1994, N/A
304. Nhà ông Ngô Văn Thấu (ATK2), Hoàng Vân- Hiệp Hòa, Lịch sử, 1994, N/A
305. Nhà ông Ngô Văn Đông (ATK2), Hoàng Vân- Hiệp Hòa, Lịch sử, 1994, N/A
306. Nhà ông Nguyễn Văn Chế (ATK2), Hoàng Vân- Hiệp Hòa, Lịch sử, 1994, N/A
307. Đền Soi (ATK2), Hoàng Vân- Hiệp Hòa, Lịch sử, 1994, N/A
308. Đình chợ Vân (ATK2), Hoàng An- Hiệp Hòa, Lịch sử, 1994, N/A
309. Đình và đền Trâu Lỗ, Mai Đình- Hiệp Hòa, Văn hóa nghệ thuật, 1994, N/A
310. Đình Đông Trước, Mai Đình- Hiệp Hòa, Văn hóa nghệ thuật, 2014, N/A
311. Đình Phù Lão, Đào Mỹ- Lạng Giang, Văn hóa nghệ thuật, 1982, N/A
312. Lạng Giang, Lịch sử, N/A, N/A, 
313. Đình Am, Xuân Hương- Lạng Giang, Văn hóa nghệ thuật, 2014, N/A
314. Cụm di tích Cây Dã hương, Tiên Lục- Lạng Giang, Lịch sử, 1989, N/A
315. Vân Hà, Việt Yên, Văn hóa nghệ thuật, N/A, N/A, 
316. Chùa Bổ Đà, Việt Yên, Văn hóa nghệ thuật, 2016, đặc biệt 2499/QĐ-TTg
317. Đình Nội, Việt Lập- Tân Yên, Văn hóa nghệ thuật, 1998, N/A
318. Chùa Nam Thiên (Đồi Phủ), Tân Yên, Lịch sử, 1989, N/A
319. Đình Dương Lâm, An Dương- Tân Yên, Văn hóa nghệ thuật, 1991, N/A
320. Đình Vường, Liên Trung- Tân Yên, Văn hóa nghệ thuật, 1991, N/A
321. Chùa Kim Tràng, Việt Lập- Tân Yên, Văn hóa nghệ thuật, 1991, N/A
322. Chùa Tứ Giáp, Tân Yên, Văn hóa nghệ thuật, 1992, N/A
323. Đình Cao Thượng, Tân Yên, Văn hóa nghệ thuật, 1999, N/A
324. Đình và chùa Hả, Tân Trung- Tân Yên, Lịch sử, 1994, N/A
325. Đình làng Chuông, Tân Yên, Lịch sử, 1988, N/A
326. Nghĩa địa Pháp (Đồi Phủ), Tân Yên, Lịch sử, 1988, N/A
327. Đền thờ Cả Trọng (đền Gốc Dẻ), Tân Yên, Lịch sử, 1988, N/A
328. Đền Gốc Khế, Tân Yên, Lịch sử, 1988, N/A
329. Nghè Nhã Nam, Tân Yên, Lịch sử, 1988, N/A
330. Đồn Phồn Xương, Yên Thế, Lịch sử, 1979, N/A
331. Đồn Hom, Yên Thế, Lịch sử, 1979, N/A
332. Đồn Hố Chuối, Yên Thế, Lịch sử, 1979, N/A
333. Chùa Lèo, Phồn Xương- Yên Thế, Lịch sử, 1979, N/A
334. Đền Bến Nhãn, Yên Thế, Lịch sử, 1991, N/A
335. Chùa Bố Hạ, Yên Thế, Lịch sử văn hóa, 1991, N/A
336. Đình Hương Vĩ, Yên Thế, Lịch sử văn hóa, 1994, N/A
337. Chùa Hương Vĩ, Yên Thế, Văn hóa nghệ thuật, 1994, N/A
338. Đền Cầu Khoai, Yên Thế, Lịch sử, 1994, N/A
339. Đình Đông Kênh, Đông Sơn- Yên Thế, Văn hóa nghệ thuật, 1995, N/A
340. Đình Bo Chợ, Đông Sơn- Yên Thế, Văn hóa nghệ thuật, 1995, N/A
341. Đền thờ Kỳ Đồng Nguyễn Văn Cẩm (Động Thiên Thai), Hồng Kỳ- Yên Thế, Lịch sử, 1995, N/A
342. Khu di tích khởi nghĩa Yên Thế (gồm 23 di tích), Yên Thế- Tân Yên- Việt Yên- Yên Dũng, Lịch sử, N/A, đặc biệt năm 2012 
343. Chùa Kem Nham Sơn (KDT Yên Thế), Yên Dũng, Lịch sử đặc biệt, 2012, N/A
344. Đình và chùa Sàn, Phương Sơn- Lục Nam, Văn hóa nghệ thuật, 1995, N/A
345. Chùa Khám Lạng, Khám Lạng- Lục Nam, Văn hóa nghệ thuật, 1999, N/A
346. Đền Hả, Hồng Giang- Lục Ngạn, Lịch sử, 1991, N/A
347. Chùa Am Vãi, Nam Dương- Lục Ngạn, Lịch sử văn hóa, 2017, số 819/QĐ
348. Lăng Giáp Đăng Luân, Việt Lập- Tân Yên, Lịch sử kiến trúc, 2017, số 820/QĐ
349. Đình Đại Từ, Bảo Đài- Lục Nam, Lịch sử văn hóa, 2017, số 821/QĐ
350. Đền Hùng, Hy Cương- Việt Trì, Lịch sử văn hóa đặc biệt, 2012, 1272/QĐ-TTg
351. Di tích Làng Cả, Thọ Sơn- Việt Trì, Lịch sử khảo cổ, 2006, 68/2006/QĐ-BVHT
352. Đình Hương Trầm, Dưu Lâu- Việt Trì, Kiến trúc nghệ thuật, 23/02/2004, 08/2004/QĐ
353. Đình Hạ Bì Trung, Xuân Lộc- Thanh Thủy, Lịch sử văn hóa, 10/11/2010, số 3997/QĐ
354. Căn cứ Tiên Động, Tiên Lương- Cẩm Khê, Lịch sử văn hóa đặc biệt, 12/02/1999, số 05/QĐ 
355. Di tích khảo cổ xóm Rền, Gia Thanh- Phù Ninh, Khảo cổ, 2012, 12/2007/QĐ-BVHT
356. Đền Đào Xá, Đào Xá- Thanh Thủy, Lịch sử, 23/02/2004, 08/2004/QĐ
357. Đền Lời, Vĩnh Lại- Lâm Thao, Kiến trúc nghệ thuật, 23/02/2004, 08/2004/QĐ
358. Địa điểm chiến thắng Chân Mộng - Trạm Than (năm 1952), Chân Mộng- Đoan Hùng, Lịch sử, 23/02/2004, 08/2004/QĐ
359. Chùa Phúc Ân Do Nghĩa, Sơn Vi- Lâm Thao, Lịch sử văn hóa, 1998, N/A
360. Đình Hạ Mạo, Thanh Minh- Tx. Phú Thọ, Lịch sử kiến trúc, 22/8/2008, Số 69/2008/QĐ
361. Đền Chu Hưng, Ấm Hạ- Hạ Hòa, Lịch sử văn hóa, 2003, N/A
362. Đền Lăng Sương, Trung Nghĩa- Thanh Thủy, Lịch sử văn hóa, 2005, số 25/2005/QĐ
363. Đền Mẫu Âu Cơ, Hiền Lương- Hạ Hòa, Lịch sử văn hóa, 1991, N/A
364. Đền Tam Giang, Bạch Hạc- Việt Trì, Lịch sử văn hóa, 2010, N/A
365. Chùa Phổ Quang (Chùa Xuân Lũng), Xuân Lũng- Lâm Thao, Lịch sử văn hóa, 1980, N/A
366. Đền Xa Lộc, Tứ Xã- Lâm Thao, Lịch sử văn hóa, 1991, N/A
367. Chùa Bồng Lai (Chùa Hà Thạch), Hà Thạch- thị xã Phú Thọ, Lịch sử văn hóa, 1994, N/A
368. Đền Kiếp Bạc (Khu di tích Côn Sơn - Kiếp Bạc), Chí Linh, Lịch sử văn hóa đặc biệt, 1962, đặc biệt 2012
369. Chùa Côn Sơn (Khu di tích Côn Sơn - Kiếp Bạc), Chí Linh, Lịch sử văn hóa đặc biệt, 1962, đặc biệt 2012
370. Chí Linh, Lịch sử văn hóa, N/A, N/A, 
371. Chí Linh, Lịch sử văn hóa, N/A, N/A, 
372. Chùa Thanh Mai, Chí Linh, Lịch sử, 1992, N/A
373. Chí Linh, Lịch sử văn hóa, N/A, N/A, 
374. Đền thờ Chu Văn An, Chí Linh, Lịch sử văn hóa, 1998, N/A
375. Chí Linh, Lịch sử văn hóa, N/A, N/A, 
376. Đền Quốc Phụ, Chí Linh, Lịch sử, 2003, N/A
377. Mộ và Đền thờ Nữ tiến sĩ Nguyễn Thị Duệ, Chí Linh, Lịch sử, 2014, N/A
378. Đền Cao An Phụ, Kinh Môn, Lịch sử văn hóa, 1992, N/A
379. Động Kính Chủ, Kinh Môn, Lịch sử đặc biệt, 1962, 2499/QĐ-TTg (2016)
380. Chùa Dâu (Gia Lộc), Nhật Tân- Gia Lộc, Lịch sử, 1992, N/A
381. Đền Đươi, Gia Lộc, Lịch sử, 1992, N/A
382. Miếu Chợ Cốc, Gia Lộc, Lịch sử, 1991, N/A
383. Đình Vô Lượng, Gia Lộc, Lịch sử, 1998, N/A
384. Đình Trình Xá, Gia Lộc, Lịch sử, 1999, N/A
385. Chùa Muống, Kim Thành, Lịch sử, 1992, N/A
386. Chùa Linh Quang, Kim Thành, Văn hóa kiến trúc, 2001, Tháp Cửu phẩm Liên Hoa
387. Đình Kiên Lao, Kim Thành, Văn hóa kiến trúc, 1995, N/A
388. Đình - chùa Dưỡng Thái, Kim Thành, Lịch sử, 1995, N/A
389. Chùa Trăm Gian Hải Dương, Nam Sách, Lịch sử, 1990, N/A
390. Mộ và Nhà thờ 3 Tiến sĩ Trần Thọ, Trần Cảnh, Trần Tiến (Họ Trần Điền Trì), Quốc Tuấn- Nam Sách, Lịch sử, 2020, N/A
391. Đền Mạc Đĩnh Chi, Nam Sách, Lịch sử, 1995, N/A
392. Gốm Chu Đậu-Mỹ Xá, Nam Sách, Lịch sử, 1992, N/A
393. Nghè Đồn, Nam Sách, Lịch sử, 1994, N/A
394. Chùa Trông, Ninh Giang, Lịch sử, 2002, N/A
395. Đền Tranh (đền Quan Lớn Tuần Tranh), Ninh Giang, Lịch sử, 2009, N/A
396. Đền Khúc Thừa Dụ, Ninh Giang, Lịch sử, 2014, N/A
397. Đền Xưa - Chùa Giám - Đền Bia, Cẩm Giàng, Lịch sử, 1994, đặc biệt 2017 tại 2082/QĐ-TTg
398. Văn Miếu Mao Điền, Cẩm Giàng, Lịch sử, 1992, đặc biệt 2017 tại 2082/QĐ-TTg
399. Đình Thiệu Mỹ, Thanh Hà, Lịch sử, 2004, N/A
400. Đình Cao Xá, Bình Giang, Lịch sử, 1994, N/A
401. Đình - chùa Châu Khê, Bình Giang, Lịch sử, 1991, N/A
402. Đền Sượt, Hải Dương, Lịch sử, 1993, N/A
403. Khu lưu niệm Đinh Văn Tả, Hải Dương, Lịch sử, 1993, N/A
404. Đảo Cò Chi Lăng Nam, Thanh Miện, Danh thắng, 2014, N/A
405. Đại Phúc, Lịch sử văn hóa, N/A, N/A, 
406. Chùa Dạm, Nam Sơn, Lịch sử văn hóa, 1962, N/A
407. Đền Bà Chúa Kho (Bắc Ninh), Vũ Ninh, Lịch sử, N/A, N/A
408. Chùa Thiên Tâm (chùa Tiêu), Tương Giang- Từ Sơn, Lịch sử, 1991, N/A
409. Đình, chùa Vĩnh Kiều, Đồng Nguyên- Từ Sơn, Lịch sử văn hóa, 1992, N/A
410. Đình Dương Lôi, Tân Hồng- Từ Sơn, Lịch sử văn hóa, N/A, N/A
411. Nhà lưu niệm Ngô Gia Tự, Tam Sơn- Từ Sơn, Lịch sử văn hóa, 1989, N/A
411. Nhà lưu niệm Ngô Gia Tự, Tam Sơn- Từ Sơn, Lịch sử văn hóa, 1989, N/A
412. Đình làng Đồng Đông, Đại Đồng Thành- Thuận Thành, Lịch sử - Nghệ thuật, 1992, 138/1992/VH-QĐ
413. Đình Đình Bảng, Đình Bảng- Từ Sơn, Lịch sử văn hóa, N/A, N/A
414. Đền Lý Bát Đế (Đền Đô) và Lăng mộ các vua nhà Lý, Đình Bảng- Từ Sơn, Lịch sử văn hóa đặc biệt, 1991, đặc biệt 2015
415. Chùa Dận, Đình Bảng- Từ Sơn, Lịch sử văn hóa, N/A, N/A
416. Đình Yên Lã, Tân Hồng- Từ Sơn, Lịch sử văn hóa, 23/02/2004, 08/2004/QĐ
417. Chùa Yên Lã, Tân Hồng- Từ Sơn, Lịch sử văn hóa, 23/02/2004, 08/2004/QĐ
418. Khu di tích Đền Núi, điếm Trung Quân, Núi đồn và Cánh đồng dinh, Yên Phụ- Yên Phong, Lịch sử văn hóa, 1988, N/A
419. Đình Ngô Nội, Trung Nghĩa- Yên Phong, Lịch sử, 2001, N/A
420. Đình Đông Mai, Trung Nghĩa- Yên Phong, Lịch sử kiến trúc, 1990, N/A
421. Trung Nghĩa, Yên Phong, Văn hóa kiến trúc, N/A, N/A, 
422. Văn Môn, Yên Phong, Lịch sử văn hóa, N/A, N/A, 
423. Mộ và Đền thờ Tiến sĩ Nguyễn Duy Thức, Tam Giang- Yên Phong, Lịch sử, 2014, N/A
424. Nhà thờ tổ họ Ngô lệnh tộc (Nhà thờ 5 tiến sĩ họ Ngô), Tam Giang- Yên Phong, Lịch sử, 2015, N/A
425. Di tích Phòng tuyến sông Như Nguyệt, Tam Đa- Yên Phong, Lịch sử, 1980, N/A
426. Chùa Cổ Lũng, Tiên Du, Lịch sử, 1994, N/A
427. Lăng và đền thờ Kinh Dương Vương, Đồng Thành- Thuận Thành, Lịch sử văn hóa, 1993, N/A
428. Đình Mão Điền Đoài, Mão Điền- Thuận Thành, Lịch sử, 2009, N/A
429. Đình Liễu Khê, Song Liễu- Thuận Thành, Lịch sử văn hóa, 2001, N/A
430. Chùa Bút Tháp, Đình Tổ- Thuận Thành, Lịch sử kiến trúc đặc biệt, 1962, đặc biệt 2013 tại 2383/QĐ-TTg
431. Chùa Hương Thủy, Đình Tổ- Thuận Thành, Lịch sử kiến trúc, 1994, N/A
432. Chùa Dâu, Thanh Khương- Thuận Thành, Lịch sử kiến trúc đặc biệt, 1962, đặc biệt 2013 tại 2383/QĐ-TTg
433. Chùa Tổ, Hà Mãn- Thuận Thành, Lịch sử văn hóa, 2001, N/A
434. Chùa Phật Tích, Phật Tích- Tiên Du, Lịch sử kiến trúc đặc biệt, 1962, đặc biệt 2014 tại 2408/QĐ-TTg
435. Đình Lương Xá, Phú Lương- Lương Tài, Lịch sử văn hóa, 2017, số 815/QĐ
436. Khu Danh thắng Tây Thiên (bao gồm Đền Mẫu Sinh, Đền cô đền cậu Tây Thiên, Đền Thượng, Đền Thõng (đền Tây Thiên), và Thiền viện Trúc Lâm Tây Thiên), Đại Đình- Tam Đảo, Lịch sử văn hóa đặc biệt, 1991, đặc biệt 2015
437. Đình Đạm Xuyên, Tiền Châu- Phúc Yên, Lịch sử văn hóa, 2003, N/A
438. Chiến khu Ngọc Thanh (bao gồm núi Thằn Lằn, nhà cụ Lý Thị Hai, Đồng Dè, rừng Móc Son, khe núi Đá Đen và thung lũng Đá Bia), Ngọc Thanh- Phúc Yên, Lịch sử cách mạng, 1995, N/A
439. Chùa Bảo Sơn (Vĩnh Phúc), Nam Viêm- Phúc Yên, Lịch sử văn hóa, 1994, N/A
440. Đình Khả Do, Nam Viêm- Phúc Yên, Lịch sử văn hóa, 1994, N/A
441. Đình Cao Quang, Cao Minh- Phúc Yên, Lịch sử văn hóa, 1990, N/A
442. Đền Ngô Miễn, Phúc Thắng- Phúc Yên, Lịch sử văn hóa, 1991, N/A
443. Đình Sen Hồ (Vĩnh Phúc), Thái Hòa- Lập Thạch, Lịch sử văn hóa, 1993, N/A
444. Đền thờ Trần Nguyên Hãn, Sơn Đông- Lập Thạch, Lịch sử văn hóa, 1984, N/A
445. Đền thờ Đỗ Khắc Chung, Sơn Đông- Lập Thạch, Lịch sử văn hóa, 1993, N/A
446. Chùa Vĩnh Phúc, Sơn Đông- Lập Thạch, Lịch sử văn hóa, 1993, N/A
447. Đình Tây Hạ, Bàn Giản- Lập Thạch, Lịch sử văn hóa, 1992, N/A
448. Chùa Đông Lai (Vĩnh Phúc), Bàn Giản- Lập Thạch, Lịch sử văn hóa, 1992, N/A
449. Đền Triệu Thái, Đồng Ích- Lập Thạch, Lịch sử văn hóa, 1992, N/A
450. Đình Ngõa, Văn Quán- Lập Thạch, Lịch sử văn hóa, 1994, N/A
451. Đình Đình Chu, Đình Chu- Lập Thạch, Lịch sử văn hóa, 1996, N/A
452. Đình Thạch Trục, Lập Thạch- Lập Thạch, Lịch sử văn hóa, 1996, N/A
453. Chùa Am (Vĩnh Phúc), Sơn Đông- Lập Thạch, Lịch sử văn hóa, 1994, N/A
454. Chùa Sùng Khánh (chùa Báo Thiên), Tiên Lữ- Lập Thạch, Lịch sử văn hóa, 2015, N/A
455. Đình Tiên Lữ (Vĩnh Phúc), Tiên Lữ- Lập Thạch, Lịch sử văn hóa, 2000, N/A
456. Tháp Bình Sơn, Tam Sơn- Sông Lô, Lịch sử kiến trúc đặc biệt, 1962, đặc biệt 2015
457. Đình Hương Canh, Hương Canh- Bình Xuyên, Lịch sử văn hóa, 1964, N/A
458. Đình Ngọc Canh, Hương Canh- Bình Xuyên, Lịch sử văn hóa, 1984, N/A
459. Đình Tiên Hường, Hương Canh- Bình Xuyên, Lịch sử văn hóa, 1984, N/A
460. Chùa Kính Phúc, Hương Canh- Bình Xuyên, Lịch sử văn hóa, 2000, N/A
461. Đền Xuân Lãng, Thanh Lãng- Bình Xuyên, Lịch sử văn hóa, 2000, N/A
462. Chùa Quảng Hựu, Thanh Lãng- Bình Xuyên, Lịch sử văn hóa, 1994, N/A
463. Đền Thánh Mẫu (Vĩnh Phúc), Thanh Lãng- Bình Xuyên, Lịch sử văn hóa, 1992, N/A
464. Cụm di tích thờ Lý Nam Đế (gồm Đình Mộ Đạo, Bảo Đức, Đại Phúc), Đạo Đức- Bình Xuyên, Lịch sử văn hóa, 1992, N/A
465. Chùa Can Bi, Phú Xuân- Bình Xuyên, Lịch sử văn hóa, 1993, N/A
466. Đình Quất Lưu, Quất Lưu- Bình Xuyên, Lịch sử văn hóa, 1993, N/A
467. Chùa Tùng Vân, Thổ Tang- Vĩnh Tường, Lịch sử văn hóa, 1992, N/A
468. Đình Thổ Tang, Thổ Tang- Vĩnh Tường, Lịch sử văn hóa, 1964, đăc biệt 2018
469. Đình Bích Chu, An Tường- Vĩnh Tường, Lịch sử văn hóa, 1990, N/A
470. Đình Thủ Độ, An Tường- Vĩnh Tường, Lịch sử văn hóa, 1992, N/A
471. Đình Cam Giá, An Tường- Vĩnh Tường, Lịch sử văn hóa, 1996, N/A
472. Miếu Trúc Lâm, Thổ Tang- Vĩnh Tường, Văn hóa kiến trúc, 2015, N/A
473. Đình Phương Viên, Thổ Tang- Vĩnh Tường, Văn hóa kiến trúc, 2015, N/A
474. Đền Phú Đa, Lũng Hòa- Vĩnh Tường, Lịch sử văn hóa, 1984, N/A
475. Đình Hòa Loan, Lũng Hòa- Vĩnh Tường, Lịch sử văn hóa, 1992, N/A
476. Cụm di tích Lê Ngọc Chinh (đền Ngòi, đình Đông, đình Nam), Lũng Hòa- Vĩnh Tường, Lịch sử văn hóa, 1994, N/A
477. Đền Đuông, Bồ Sao- Vĩnh Tường, Lịch sử văn hóa, 1993, N/A
478. Chùa Thượng Trưng, Thượng Trưng- Vĩnh Tường, Lịch sử văn hóa, 1992, N/A
479. Địa điểm lưu niệm Chủ tịch Hồ Chí Minh tại Vĩnh Tường, Bình Dương- Vĩnh Tường, Lịch sử văn hóa, 1995, N/A
480. Chùa Hoa Dương, Tuân Chính- Vĩnh Tường, Lịch sử văn hóa, 1994, N/A
481. Đình Tuân Lộ, Tuân Chính- Vĩnh Tường, Lịch sử văn hóa, 2003, N/A
482. Đình và chùa Vĩnh Sơn, Vĩnh Sơn- Vĩnh Tường, Lịch sử văn hóa, 2000, N/A
483. Đình Sông Kênh, Nghĩa Hưng- Vĩnh Tường, Lịch sử văn hóa, 2003, N/A
484. Đền Thính, Tam Hồng- Yên Lạc, Lịch sử văn hóa, 1992, N/A
485. Đền Tranh (Vĩnh Phúc), Trung Nguyên- Yên Lạc, Lịch sử văn hóa, 1993, N/A
486. Đền Đồng Lạc, Đồng Văn- Yên Lạc, Lịch sử văn hóa, 1994, N/A
487. Đình Yên Lạc, Đồng Văn- Yên Lạc, Lịch sử văn hóa, 1996, N/A
488. Đình Hùng Vĩ, Đồng Văn- Yên Lạc, Lịch sử văn hóa, 1992, N/A
489. Chùa Tiền Môn, Đồng Văn- Yên Lạc, Lịch sử văn hóa, 1994, N/A
490. Chùa Đại An, Đồng Văn- Yên Lạc, Lịch sử văn hóa, 2000, N/A
491. Đình Tri Chỉ, Đồng Cương- Yên Lạc, Lịch sử văn hóa, 18/03/1996, 460/QĐ-BT
492. Đình Yên Nội, Văn Tiến- Yên Lạc, Lịch sử văn hóa, 1993, N/A
493. Chùa Biện Sơn, Yên Lạc- Yên Lạc, Lịch sử văn hóa, 1996, N/A
494. Khảo cổ học Đồng Đậu, Yên Lạc- Yên Lạc, Khảo cổ, 2000, N/A
495. Đình Thứa Thượng, Duy Phiên- Tam Dương, Lịch sử văn hóa, 1994, N/A
496. Đình Phú Vinh, Duy Phiên- Tam Dương, Lịch sử văn hóa, 2001, N/A
497. Chùa Hà Tiên (Vĩnh Phúc), Định Trung- Vĩnh Yên, Lịch sử văn hóa, 1995, N/A
498. Chùa Tích Sơn, Tích Sơn- Vĩnh Yên, Lịch sử văn hóa, 1992, N/A
499. Đình Đông Đạo, Đồng Tâm- Vĩnh Yên, Lịch sử văn hóa, 1994, N/A
500. Nhà hát lớn Hải Phòng, Hoàng Văn Thụ- Hồng Bàng, Văn hóa kiến trúc, 2015, N/A
501. Trạm Giao thông liên lạc quốc tế của Đảng trong những năm 1920, Hoàng Văn Thụ- Hồng Bàng, Lịch sử cách mạng, 1986, Nhà số 14 Ngõ Gạo
